Gép;Pozíció;Cikkszám;Model;Msd;Msd szint;Idõ
1;116;CH_CPCAP10445A;Chrony IVI;Nem;Nincs;-
1;117;CH_CPPRO00034A;Chrony IVI;Nem;Nincs;-
1;118;CH_CPRES05759A;Chrony IVI;Nem;Nincs;-
1;119;CH_CPRES05760A;Chrony IVI;Nem;Nincs;-
1;120;CH_CPRES15725A;Chrony IVI;Nem;Nincs;-
1;121;CH_CPRES15803A;Chrony IVI;Nem;Nincs;-
1;122;CH_CPRES15964A;Chrony IVI;Nem;Nincs;-
1;123;CH_CPRES15993A;Chrony IVI;Nem;Nincs;-
1;124;CH_CPRES16442A;Chrony IVI;Nem;Nincs;-
1;211;CH_CPDIO00506A;Chrony IVI;Nem;Nincs;-
1;212;CH_CPIND00330A;Chrony IVI;Nem;Nincs;-
1;213;CH_CPCAP04071A;Chrony IVI;Nem;Nincs;-
1;214;CH_CPCAP04192A;Chrony IVI;Nem;Nincs;-
1;215;CH_CPCAP10463A;Chrony IVI;Nem;Nincs;-
1;216;CH_CPCAP12156A;Chrony IVI;Nem;Nincs;-
1;217;CH_CPCAP12222A;Chrony IVI;Nem;Nincs;-
1;218;CH_CPFER00086A;Chrony IVI;Nem;Nincs;-
1;219;CH_CPRES05759A;Chrony IVI;Nem;Nincs;-
1;220;CH_CPRES15632A;Chrony IVI;Nem;Nincs;-
1;221;CH_CPRES15917A;Chrony IVI;Nem;Nincs;-
1;222;CH_CPRES16031A;Chrony IVI;Nem;Nincs;-
1;223;CH_CPRES16349A;Chrony IVI;Nem;Nincs;-
2;101;CH_CPICS03289A;Chrony IVI;Igen;2;1 év
2;103;CH_CPICS03374A;Chrony IVI;Nem;Nincs;-
2;104;CH_CPICS03444A;Chrony IVI;Nem;Nincs;-
2;105;CH_CPIND00345A;Chrony IVI;Nem;Nincs;-
2;106;CH_CPIND01097A;Chrony IVI;Nem;Nincs;-
2;107;CH_CPIND00347A;Chrony IVI;Nem;Nincs;-
2;109;CH_CPIND01262A;Chrony IVI;Nem;Nincs;-
2;110;CH_CPIND01272A;Chrony IVI;Nem;Nincs;-
2;111;CH_CPIND01273A;Chrony IVI;Nem;Nincs;-
2;112;CH_CPIND01274A;Chrony IVI;Nem;Nincs;-
2;113;CH_CPIND01287A;Chrony IVI;Nem;Nincs;-
2;114;CH_CPIND01498A;Chrony IVI;Nem;Nincs;-
2;115;CH_CPIND01524A;Chrony IVI;Nem;Nincs;-
2;116;CH_CPIND01847A;Chrony IVI;Nem;Nincs;-
2;117;CH_CPPRO00110A;Chrony IVI;Nem;Nincs;-
2;118;CH_CPPRO00135A;Chrony IVI;Nem;Nincs;-
2;119;CH_CPRES14743A;Chrony IVI;Nem;Nincs;-
2;120;CH_CPTRT00271A;Chrony IVI;Nem;Nincs;-
2;121;CH_CPTRT00317A;Chrony IVI;Nem;Nincs;-
2;123;CH_CPTRT00654A;Chrony IVI;Nem;Nincs;-
2;125;CH_CPRES15844A;Chrony IVI;Nem;Nincs;-
2;126;CH_CPRES15888A;Chrony IVI;Nem;Nincs;-
2;127;CH_CPRES16017A;Chrony IVI;Nem;Nincs;-
2;128;CH_CPRES16049A;Chrony IVI;Nem;Nincs;-
2;129;CH_CPRES16409A;Chrony IVI;Nem;Nincs;-
2;130;CH_CPCAP02199A;Chrony IVI;Nem;Nincs;-
2;131;CH_CPANT00142A;Chrony IVI;Nem;Nincs;-
2;133;CH_CPCAP04075A;Chrony IVI;Nem;Nincs;-
2;134;CH_CPCAP10023A;Chrony IVI;Nem;Nincs;-
2;135;CH_CPCAP10104A;Chrony IVI;Nem;Nincs;-
2;136;CH_CPCAP10487A;Chrony IVI;Nem;Nincs;-
2;137;CH_CPCAP10537A;Chrony IVI;Nem;Nincs;-
2;138;CH_CPCAP10555A;Chrony IVI;Nem;Nincs;-
2;139;CH_CPCAP10563A;Chrony IVI;Nem;Nincs;-
2;140;CH_CPCAP10668A;Chrony IVI;Nem;Nincs;-
2;141;CH_CPDIO00098A;Chrony IVI;Nem;Nincs;-
2;142;CH_CPFER00017A;Chrony IVI;Nem;Nincs;-
2;143;CH_CPFER00083A;Chrony IVI;Nem;Nincs;-
2;144;CH_CPFER00084A;Chrony IVI;Nem;Nincs;-
2;145;CH_CPICS03278A;Chrony IVI;Nem;Nincs;-
2;146;CH_CPCAP02856A;Chrony IVI;Nem;Nincs;-
2;147;CH_CPCAP10843A;Chrony IVI;Nem;Nincs;-
2;148;CH_CPCAP10854A;Chrony IVI;Nem;Nincs;-
2;149;CH_CPCAP10856A;Chrony IVI;Nem;Nincs;-
2;150;CH_CPCAP10860A;Chrony IVI;Nem;Nincs;-
2;151;CH_CPCAP10864A;Chrony IVI;Nem;Nincs;-
2;152;CH_CPCAP10866A;Chrony IVI;Nem;Nincs;-
2;153;CH_CPCAP10869A;Chrony IVI;Nem;Nincs;-
2;154;CH_CPCAP12443A;Chrony IVI;Nem;Nincs;-
2;155;CH_CPFER00046A;Chrony IVI;Nem;Nincs;-
2;201;CH_CPRES05752A;Chrony IVI;Nem;Nincs;-
2;202;CH_CPRES05753A;Chrony IVI;Nem;Nincs;-
2;203;CH_CPRES05782A;Chrony IVI;Nem;Nincs;-
2;204;CH_CPRES15651A;Chrony IVI;Nem;Nincs;-
2;205;CH_CPRES15689A;Chrony IVI;Nem;Nincs;-
2;206;CH_CPRES15811A;Chrony IVI;Nem;Nincs;-
2;207;CH_CPRES15835A;Chrony IVI;Nem;Nincs;-
2;208;CH_CPRES15850A;Chrony IVI;Nem;Nincs;-
2;209;CH_CPRES15921A;Chrony IVI;Nem;Nincs;-
